timestamp,open,high,low,close,volume
2023-05-10,173.02,174.03,171.90,173.56,174.41
2023-05-09,173.05,173.54,171.60,171.77,173.98
2023-05-08,172.48,173.85,172.11,173.50,171.45
2023-05-05,170.98,174.30,170.76,173.57,168.62
2023-05-04,164.89,167.04,164.31,165.79,170.33
2023-05-03,169.50,170.92,167.16,167.45,171.38
2023-05-02,170.09,170.35,167.54,168.54,171.46
2023-05-01,169.28,170.45,168.64,169.59,170.04
2023-04-28,168.49,169.85,167.88,169.68,167.53
2023-04-27,165.19,168.56,165.19,168.41,165.37
2023-04-26,163.06,165.28,162.80,163.76,166.01
2023-04-25,165.19,166.31,163.73,163.77,167.14
2023-04-24,165.00,165.60,163.89,165.33,167.92
2023-04-21,165.05,166.45,164.49,165.02,169.09
2023-04-20,166.09,167.87,165.56,166.65,169.14
2023-04-19,165.80,168.16,165.54,167.63,168.15
2023-04-18,166.10,167.41,165.65,166.47,167.17
2023-04-17,165.09,165.39,164.03,165.23,166.07
2023-04-14,164.59,166.32,163.82,165.21,164.08
2023-04-13,161.63,165.80,161.42,165.56,161.79
2023-04-12,161.22,162.06,159.78,160.10,162.98
2023-04-11,162.35,162.36,160.51,160.80,164.63
2023-04-10,161.42,162.03,160.08,162.03,166.21
2023-04-06,162.43,164.96,162.00,164.66,166.78
2023-04-05,164.74,165.05,161.80,163.76,167.76
2023-04-04,166.60,166.84,165.11,165.63,167.04
2023-04-03,164.27,166.29,164.22,166.17,164.93
2023-03-31,162.44,165.00,161.91,164.90,162.47
2023-03-30,161.53,162.47,161.27,162.36,160.69
2023-03-29,159.37,161.05,159.35,160.77,159.72
2023-03-28,157.97,158.49,155.98,157.65,160.61
2023-03-27,159.94,160.77,157.87,158.28,161.14
2023-03-24,158.86,160.34,157.85,160.25,160.46
2023-03-23,158.83,161.55,157.68,158.93,160.26
2023-03-22,159.30,162.14,157.81,157.83,160.08
2023-03-21,157.32,159.40,156.54,159.28,158.41
2023-03-20,155.07,157.82,154.15,157.40,157.03
2023-03-17,156.08,156.74,154.28,155.00,156.04
2023-03-16,152.16,156.46,151.64,155.85,153.86
2023-03-15,151.19,153.25,149.92,152.99,152.59
2023-03-14,151.28,153.40,150.10,152.59,151.46
2023-03-13,147.81,153.14,147.70,150.47,151.98
2023-03-10,150.21,150.94,147.61,148.50,154.10
2023-03-09,153.56,154.54,150.23,150.59,155.24
2023-03-08,152.81,153.47,151.83,152.87,154.76
2023-03-07,153.70,154.03,151.13,151.60,153.80
2023-03-06,153.79,156.30,153.46,153.83,150.47
2023-03-03,148.04,151.11,147.33,151.03,148.11
2023-03-02,144.38,146.71,143.90,145.91,148.50
2023-03-01,146.83,147.23,145.01,145.31,149.37
2023-02-28,147.05,149.08,146.83,147.41,149.33
2023-02-27,147.71,149.17,147.45,147.92,149.40
2023-02-24,147.11,147.19,145.72,146.71,150.49
2023-02-23,150.09,150.34,147.24,149.40,150.89
2023-02-22,148.87,149.95,147.16,148.91,152.54
2023-02-21,150.20,151.30,148.41,148.48,155.14
2023-02-17,152.35,153.00,150.85,152.55,155.85
2023-02-16,153.51,156.33,153.35,153.71,155.60
2023-02-15,153.11,155.50,152.88,155.33,154.10
2023-02-14,152.12,153.77,150.86,153.20,153.32
2023-02-13,150.95,154.26,150.92,153.85,152.33
2023-02-10,149.46,151.34,149.22,151.01,153.30
2023-02-09,153.78,154.33,150.42,150.87,154.79
2023-02-08,153.88,154.58,151.17,151.92,155.54
2023-02-07,150.64,155.23,150.64,154.65,154.27
2023-02-06,152.57,153.10,150.78,151.73,153.11
2023-02-03,148.03,157.38,147.83,154.50,149.04
2023-02-02,148.90,151.18,148.17,150.82,146.05
2023-02-01,143.97,146.61,141.32,145.43,145.60
2023-01-31,142.70,144.34,142.28,144.29,145.81
2023-01-30,144.96,145.55,142.85,143.00,146.33
2023-01-27,143.16,147.23,143.08,145.93,144.82
2023-01-26,143.17,144.25,141.90,143.96,143.70
2023-01-25,140.89,142.43,138.81,141.86,142.74
2023-01-24,140.31,143.16,140.30,142.53,140.44
2023-01-23,138.12,143.32,137.90,141.11,138.12
2023-01-20,135.28,138.02,134.22,137.87,137.16
2023-01-19,134.08,136.25,133.77,135.27,137.37
2023-01-18,136.82,138.61,135.03,135.21,137.30
2023-01-17,134.83,137.29,134.13,135.94,136.40
2023-01-13,132.03,134.92,131.66,134.76,135.50
2023-01-12,133.88,134.26,131.44,133.41,134.46
2023-01-11,131.25,133.51,130.46,133.49,132.61
2023-01-10,130.26,131.26,128.12,130.73,131.29
2023-01-09,130.47,133.41,129.89,130.15,129.55
2023-01-06,126.01,130.29,124.89,129.62,128.02
2023-01-05,127.13,127.77,124.76,125.02,128.97
2023-01-04,126.89,128.66,125.08,126.36,129.85
2023-01-03,130.28,130.90,124.17,125.07,131.47
2022-12-30,128.41,129.95,127.43,129.93,130.90
2022-12-29,127.99,130.48,127.73,129.61,131.18
2022-12-28,129.67,131.03,125.87,126.04,133.82
2022-12-27,131.38,131.41,128.72,130.03,134.93
2022-12-23,130.92,132.42,129.64,131.86,135.28
2022-12-22,134.35,134.56,130.30,132.23,135.32
2022-12-21,132.98,136.81,132.75,135.45,134.22
2022-12-20,131.39,133.25,129.89,132.30,135.81
2022-12-19,135.11,135.20,131.32,132.37,139.03
2022-12-16,136.69,137.65,133.73,134.51,142.88
2022-12-15,141.11,141.80,136.03,136.50,146.52
2022-12-14,145.35,146.66,141.16,143.21,146.62
2022-12-13,149.50,149.97,144.24,145.47,145.06
2022-12-12,142.70,144.50,141.06,144.49,143.83
2022-12-09,142.34,145.57,140.90,142.16,144.04
2022-12-08,142.36,143.52,141.10,142.65,144.89
2022-12-07,142.19,143.37,140.00,140.94,147.57
2022-12-06,147.07,147.30,141.92,142.91,149.72
2022-12-05,147.77,150.92,145.77,146.63,149.74
2022-12-02,145.96,148.00,145.65,147.81,148.45
2022-12-01,148.21,149.13,146.61,148.31,146.30
2022-11-30,141.40,148.72,140.55,148.03,144.92
2022-11-29,144.29,144.81,140.35,141.17,148.14
2022-11-28,145.14,146.64,143.38,144.22,150.71
2022-11-25,148.31,148.88,147.12,148.11,151.52
2022-11-23,149.45,151.83,149.34,151.07,150.90
2022-11-22,148.13,150.42,146.93,150.18,151.13
2022-11-21,150.16,150.37,147.72,148.01,152.64
2022-11-18,152.31,152.70,149.97,151.29,152.46
2022-11-17,146.43,151.48,146.15,150.72,152.46
2022-11-16,149.13,149.87,147.29,148.79,152.89
2022-11-15,152.22,153.59,148.56,150.04,151.51
2022-11-14,148.97,150.28,147.43,148.28,148.93
2022-11-11,145.82,150.01,144.37,149.70,143.46
2022-11-10,141.24,146.87,139.50,146.87,138.78
2022-11-09,138.50,138.55,134.59,134.87,140.01
2022-11-08,140.41,141.43,137.49,139.50,139.56
2022-11-07,137.11,139.15,135.67,138.92,140.79
2022-11-04,142.09,142.67,134.38,138.38,144.53
2022-11-03,142.06,142.80,138.75,138.88,150.13
2022-11-02,148.95,152.17,145.00,145.03,153.70
2022-11-01,155.08,155.45,149.13,150.65,154.25
2022-10-31,153.16,154.24,151.92,153.34,152.54
2022-10-28,148.20,157.50,147.82,155.74,149.71
2022-10-27,148.07,149.05,144.13,144.80,152.61
2022-10-26,150.96,151.99,148.04,149.35,152.57
