timestamp,open,high,low,close,volume
2023-05-10,308.62,313.00,307.67,312.31,242.78
2023-05-09,308.00,310.04,306.31,307.00,242.60
2023-05-08,310.13,310.20,306.09,308.65,242.37
2023-05-05,305.72,311.97,304.27,310.65,242.18
2023-05-04,306.24,307.76,303.40,305.41,241.97
2023-05-03,306.62,308.61,304.09,304.40,241.65
2023-05-02,307.76,309.18,303.91,305.41,241.29
2023-05-01,306.97,308.60,305.15,305.56,240.94
2023-04-28,304.01,308.93,303.31,307.26,240.64
2023-04-27,295.97,305.20,295.25,304.83,240.52
2023-04-26,296.70,299.57,292.73,295.37,240.52
2023-04-25,279.51,281.60,275.37,275.42,240.50
2023-04-24,282.09,284.95,278.72,281.77,240.42
2023-04-21,285.01,286.27,283.06,285.76,240.33
2023-04-20,285.25,289.03,285.08,286.11,240.28
2023-04-19,285.99,289.05,284.54,288.45,240.06
2023-04-18,291.57,291.76,287.01,288.37,239.82
2023-04-17,289.93,291.60,286.16,288.80,239.56
2023-04-14,287.00,288.48,283.69,286.14,239.22
2023-04-13,283.59,289.90,283.17,289.84,239.02
2023-04-12,284.79,287.01,281.96,283.49,238.82
2023-04-11,285.75,285.98,281.64,282.83,238.56
2023-04-10,289.21,289.60,284.71,289.39,238.28
2023-04-06,283.21,292.08,282.03,291.60,237.88
2023-04-05,285.85,287.15,282.92,284.34,237.50
2023-04-04,287.23,290.45,285.67,287.18,237.10
2023-04-03,286.52,288.27,283.95,287.23,236.70
2023-03-31,283.73,289.27,283.00,288.30,236.45
2023-03-30,284.23,284.46,281.48,284.05,236.17
2023-03-29,278.96,281.14,278.41,280.51,235.89
2023-03-28,275.79,276.14,272.05,275.23,235.54
2023-03-27,280.50,281.46,275.52,276.38,235.06
2023-03-24,277.24,280.63,275.28,280.57,234.75
2023-03-23,277.94,281.06,275.20,277.66,234.45
2023-03-22,273.40,281.04,272.18,272.29,234.10
2023-03-21,274.88,275.00,269.52,273.78,233.73
2023-03-20,276.98,277.48,269.85,272.23,233.22
2023-03-17,278.26,283.33,276.32,279.43,232.72
2023-03-16,265.21,276.56,263.28,276.20,232.38
2023-03-15,259.98,266.48,259.21,265.44,232.31
2023-03-14,256.75,261.07,255.86,260.79,232.50
2023-03-13,247.40,257.91,245.73,253.92,232.67
2023-03-10,251.08,252.79,247.60,248.59,232.73
2023-03-09,255.82,259.56,251.58,252.32,232.79
2023-03-08,254.04,254.54,250.81,253.70,232.69
2023-03-07,256.30,257.69,253.39,254.15,232.65
2023-03-06,256.43,260.12,255.98,256.87,232.74
2023-03-03,252.19,255.62,251.39,255.29,232.88
2023-03-02,246.55,251.40,245.61,251.11,233.18
2023-03-01,250.76,250.93,245.79,246.27,233.29
2023-02-28,249.07,251.49,248.73,249.42,233.44
2023-02-27,252.46,252.82,249.39,250.16,233.52
2023-02-24,249.96,251.00,248.10,249.22,233.46
2023-02-23,255.56,256.84,250.48,254.77,233.59
2023-02-22,254.09,254.34,250.34,251.51,233.59
2023-02-21,254.48,255.49,251.59,252.67,233.56
2023-02-17,259.39,260.09,256.00,258.06,233.37
2023-02-16,264.02,266.74,261.90,262.15,233.02
2023-02-15,268.32,270.73,266.18,269.32,232.61
2023-02-14,272.67,274.97,269.28,272.17,232.06
2023-02-13,267.64,274.60,267.15,271.32,231.55
2023-02-10,261.53,264.09,260.66,263.10,231.07
2023-02-09,273.80,273.98,262.80,263.62,230.55
2023-02-08,273.20,276.76,266.21,266.73,230.05
2023-02-07,260.53,268.77,260.08,267.56,229.71
2023-02-06,257.44,258.30,254.78,256.77,229.28
2023-02-03,259.54,264.20,257.10,258.35,228.73
2023-02-02,258.82,264.69,257.25,264.60,228.26
2023-02-01,248.00,255.18,245.47,252.75,227.95
2023-01-31,243.45,247.95,242.95,247.81,227.73
2023-01-30,244.51,245.60,242.20,242.71,227.40
2023-01-27,248.99,249.83,246.83,248.16,227.25
2023-01-26,243.65,248.31,242.00,248.00,227.05
2023-01-25,234.48,243.30,230.90,240.61,226.83
2023-01-24,242.50,243.95,240.44,242.04,226.67
2023-01-23,241.10,245.17,239.65,242.58,226.64
2023-01-20,234.86,240.74,234.51,240.22,226.85
2023-01-19,233.78,235.52,230.68,231.93,227.03
2023-01-18,241.57,242.38,235.52,235.81,226.92
2023-01-17,237.97,240.91,237.09,240.35,226.68
2023-01-13,237.00,239.37,234.92,239.23,226.48
2023-01-12,235.26,239.90,233.56,238.51,226.55
2023-01-11,231.29,235.95,231.11,235.77,226.83
2023-01-10,227.76,231.31,227.33,228.85,227.46
2023-01-09,226.45,231.24,226.41,227.12,228.01
2023-01-06,223.00,225.76,219.35,224.93,228.38
2023-01-05,227.20,227.55,221.76,222.31,228.71
2023-01-04,232.28,232.87,225.96,229.10,228.84
2023-01-03,243.08,245.75,237.40,239.58,228.94
2022-12-30,238.21,239.96,236.66,239.82,229.30
2022-12-29,235.65,241.92,235.65,241.01,229.69
2022-12-28,236.89,239.72,234.17,234.53,229.89
2022-12-27,238.70,238.93,235.83,236.96,229.88
2022-12-23,236.11,238.87,233.94,238.73,229.84
2022-12-22,241.26,241.99,233.87,238.19,229.74
2022-12-21,241.69,245.62,240.11,244.43,229.78
2022-12-20,239.40,242.91,238.42,241.80,229.97
2022-12-19,244.86,245.21,238.71,240.45,229.93
2022-12-16,248.55,249.84,243.51,244.69,229.86
2022-12-15,253.72,254.20,247.34,249.01,229.76
2022-12-14,257.13,262.59,254.31,257.22,229.47
2022-12-13,261.69,263.92,253.07,256.92,229.46
2022-12-12,247.45,252.54,247.17,252.51,229.43
2022-12-09,244.70,248.31,244.16,245.42,229.36
2022-12-08,244.84,248.74,243.06,247.40,229.50
2022-12-07,244.83,246.16,242.21,244.37,229.35
2022-12-06,250.82,251.86,243.78,245.12,229.12
2022-12-05,252.01,253.82,248.06,250.20,228.77
2022-12-02,249.82,256.06,249.69,255.02,228.35
2022-12-01,253.87,256.12,250.92,254.69,228.07
2022-11-30,240.57,255.33,239.86,255.14,227.76
2022-11-29,241.40,242.79,238.21,240.33,227.70
2022-11-28,246.08,246.65,240.80,241.76,227.63
2022-11-25,247.31,248.70,246.73,247.49,227.43
2022-11-23,245.11,248.28,244.27,247.58,227.40
2022-11-22,243.59,245.31,240.71,245.03,227.23
2022-11-21,241.43,244.67,241.19,242.05,227.21
2022-11-18,243.51,243.74,239.03,241.22,227.29
2022-11-17,237.78,243.25,237.63,241.68,227.22
2022-11-16,242.79,243.80,240.42,241.73,227.12
2022-11-15,245.66,247.00,240.03,241.97,226.77
2022-11-14,241.99,243.91,239.21,241.55,226.25
2022-11-11,242.99,247.99,241.93,247.11,226.20
2022-11-10,235.43,243.33,235.00,242.98,226.46
2022-11-09,227.37,228.63,224.33,224.51,226.99
2022-11-08,228.70,231.65,225.84,228.87,227.53
2022-11-07,221.99,228.41,221.28,227.87,227.99
2022-11-04,217.55,221.59,213.43,221.39,228.57
2022-11-03,220.09,220.41,213.98,214.25,228.80
2022-11-02,229.46,231.30,220.04,220.10,229.18
2022-11-01,234.60,235.74,227.33,228.17,229.64
2022-10-31,233.76,234.92,231.15,232.13,229.95
2022-10-28,226.24,236.60,226.05,235.87,230.37
2022-10-27,231.04,233.69,225.78,226.75,230.44
2022-10-26,231.17,238.30,230.06,231.32,230.24
2022-10-25,247.26,251.04,245.83,250.66,230.15
2022-10-24,243.76,247.84,241.30,247.25,230.17
2022-10-21,234.74,243.00,234.50,242.12,230.25
2022-10-20,235.77,241.31,234.87,236.15,230.31
2022-10-19,237.04,239.61,234.29,236.48,230.18
2022-10-18,243.24,243.93,235.37,238.50,230.30
2022-10-17,235.82,238.96,235.14,237.53,230.52
2022-10-14,235.54,237.24,228.34,228.56,230.92
2022-10-13,219.85,236.10,219.13,234.24,231.51
2022-10-12,225.40,227.86,223.96,225.75,231.84
2022-10-11,227.62,229.06,224.11,225.41,232.12
2022-10-10,233.05,234.56,226.73,229.25,232.22
2022-10-07,240.90,241.32,233.17,234.24,232.15
2022-10-06,247.93,250.34,246.08,246.79,232.24
2022-10-05,245.99,250.58,244.10,249.20,232.32
2022-10-04,245.09,250.36,244.98,248.88,232.61
2022-10-03,235.41,241.61,234.66,240.74,232.94
2022-09-30,238.29,240.54,232.73,232.90,233.18
2022-09-29,238.89,239.95,234.41,237.50,233.54
2022-09-28,236.81,242.33,234.73,241.07,233.91
2022-09-27,239.98,241.80,234.50,236.41,234.31
2022-09-26,237.05,241.45,236.90,237.45,234.68
2022-09-23,239.54,241.13,235.20,237.92,234.99
