epoch,msft_lstm,msft_gru,msft_cnn
0,0.002563285,0.004384072,0.073136203
1,0.000123231,4.41E-05,0.027676139
2,0.000137172,4.33E-05,0.008716797
3,0.000133079,4.86E-05,0.001971552
4,0.000152743,4.34E-05,0.000833823
5,0.000149514,5.08E-05,0.000704825
6,0.000124609,4.16E-05,0.00068591
7,0.000113625,4.66E-05,0.000680213
8,0.000112678,4.24E-05,0.000671663
9,0.000105353,4.17E-05,0.000665555
10,9.46E-05,4.60E-05,0.000661423
11,0.00014323,4.27E-05,0.000646133
12,0.000102645,4.67E-05,0.000634627
13,9.33E-05,4.64E-05,0.000614985
14,8.29E-05,4.12E-05,0.000598195
15,8.75E-05,3.95E-05,0.000579554
16,0.0001044,3.97E-05,0.000557529
17,7.03E-05,5.35E-05,0.000531088
18,7.87E-05,4.60E-05,0.000510818
19,8.14E-05,4.26E-05,0.00049418
20,7.98E-05,4.76E-05,0.000463763
21,7.98E-05,4.21E-05,0.000449899
22,6.89E-05,4.11E-05,0.000429838
23,5.89E-05,6.38E-05,0.000405329
24,6.81E-05,4.32E-05,0.000378621
25,9.36E-05,5.51E-05,0.000375213
26,6.82E-05,4.66E-05,0.000346055
27,5.95E-05,4.91E-05,0.000325225
28,8.24E-05,6.34E-05,0.000314372
29,7.25E-05,5.25E-05,0.000300172
